hotel_id,city,name,price_level,avg_review_score,location_score,family_friendly,business_friendly,near_museum,near_nightlife,near_public_transport,romantic,luxury,budget,description
AMS001,Amsterdam,Canal Palace Hotel,4,9.4,9.5,0,0,1,0,1,1,1,0,"Elegant 17th-century canal house in the heart of the Grachtengordel, steps from the Anne Frank House and Rijksmuseum. Featuring original period details, canal views from every room, and a private boat dock."
AMS002,Amsterdam,Museum Quarter Inn,2,8.6,8.8,1,0,1,0,1,0,0,0,"Well-appointed hotel a short walk from the Rijksmuseum, Van Gogh Museum, and Stedelijk. Comfortable rooms with modern amenities, popular with cultural travellers."
AMS003,Amsterdam,Jordaan Garden Hotel,2,8.7,8.5,0,0,1,1,1,1,0,0,"Charming boutique hotel tucked in the picturesque Jordaan neighbourhood. Surrounded by independent galleries, cosy cafes, and boutique shops. Canal-view breakfast terrace."
AMS004,Amsterdam,Central Budget Inn,1,7.8,8.2,0,0,0,1,1,0,0,1,"No-frills budget option located 200 metres from Amsterdam Centraal station. Clean rooms, friendly staff, and unbeatable connectivity to the entire city."
AMS005,Amsterdam,Vondelpark Family Suites,2,8.5,8.0,1,0,0,0,1,0,0,0,"Spacious family suites adjacent to Vondelpark. Kids play area, cot hire, and early dinner service. Easy tram access to major attractions."
AMS006,Amsterdam,De Pijp Boutique,2,8.8,8.3,0,0,0,1,1,1,0,0,"Stylish boutique in Amsterdam's trendiest neighbourhood. Walking distance to the Albert Cuyp market, craft beer bars, and international restaurants. Rooftop terrace with city views."
AMS007,Amsterdam,Leidseplein Inn,2,8.2,8.6,0,0,0,1,1,0,0,0,"Lively hotel at the heart of Amsterdam's entertainment district. Theatre, clubs, and restaurants at the doorstep. Excellent tram connections."
AMS008,Amsterdam,Luxury Canal House,4,9.6,9.3,0,0,1,0,1,1,1,0,"Exclusive private canal house converted to a five-star property. Six suites, personal concierge, private canal tours, and bespoke Amsterdam experiences for discerning couples."
AMS009,Amsterdam,Plantage Heritage Hotel,2,8.9,8.1,1,0,1,0,1,0,0,0,"Historic hotel in the quiet Plantage district, adjacent to Artis Zoo and Hortus Botanicus. A tranquil base perfect for families who want to explore east Amsterdam."
AMS010,Amsterdam,Waterfront Apartments,2,8.4,7.9,0,0,0,0,1,1,0,0,"Self-catering apartments on the IJ waterfront with panoramic harbour views. Modern Scandinavian design, full kitchens, ideal for longer romantic stays or independent couples."
AMS011,Amsterdam,Noord Loft Hotel,1,8.0,7.5,0,0,0,1,1,0,0,1,"Industrial-chic lofts in Amsterdam Noord reached by free ferry from Centraal. Popular with creatives and budget travellers seeking an off-the-beaten-path experience."
AMS012,Amsterdam,Rembrandtplein Suites,3,9.0,9.1,0,1,1,1,1,0,0,0,"Upscale suites above the iconic Rembrandtplein square. Business amenities, meeting rooms, and easy access to both cultural sights and after-dark entertainment."
PAR001,Paris,Le Marais Classic Hotel,2,8.7,9.0,0,0,1,1,1,1,0,0,"Stylish mid-range hotel in the historic Marais district. Walking distance to the Picasso Museum, Place des Vosges, and some of Paris's best bistros and cocktail bars."
PAR002,Paris,Eiffel Tower View Hotel,4,9.5,9.4,0,0,0,0,1,1,1,0,"Luxurious hotel with direct Eiffel Tower views from the upper-floor suites. Celebrated restaurant, rooftop champagne bar, and white-glove concierge service."
PAR003,Paris,Saint-Germain Boutique,2,8.9,9.2,0,0,1,0,1,1,0,0,"Intimate Left Bank hotel in Saint-Germain-des-Prés. Steps from the Musée d'Orsay and Luxembourg Gardens. Quintessentially Parisian with exposed stone walls."
PAR004,Paris,Montmartre Budget Hotel,1,7.7,7.8,0,0,1,1,1,0,0,1,"Affordable option in bohemian Montmartre. Near Sacré-Cœur and the artist ateliers. Metro access makes city-wide exploration easy."
PAR005,Paris,Louvre Proximity Hotel,2,8.8,9.3,1,0,1,0,1,0,0,0,"Family-friendly hotel a five-minute walk from the Louvre. Connecting rooms available, child menus in the restaurant, and multilingual staff."
PAR006,Paris,Left Bank Luxury Residence,4,9.7,9.5,0,0,1,0,1,1,1,0,"The pinnacle of Parisian luxury on Boulevard Saint-Germain. Private art collection, bespoke dining, and an expert team curating exclusive cultural experiences."
PAR007,Paris,Bastille Inn,2,8.3,8.5,0,0,0,1,1,0,0,0,"Vibrant hotel in the Bastille neighbourhood. Surrounded by wine bars, jazz clubs, and authentic French brasseries. Easy metro access to all arrondissements."
PAR008,Paris,Champs-Élysées Grand,4,9.2,9.1,0,1,0,0,1,0,1,0,"Flagship business hotel on the prestigious avenue. Premium conference facilities, 24-hour business centre, and direct RER access to Charles de Gaulle airport."
PAR009,Paris,Montparnasse Budget,1,7.9,8.0,0,0,1,0,1,0,0,1,"Well-located budget hotel near Montparnasse station. Regular TGV and metro connections. Clean, simple rooms popular with solo travellers and backpackers."
PAR010,Paris,Pigalle Design Boutique,2,8.6,8.2,0,0,0,1,1,1,0,0,"Artistically designed boutique in Pigalle. Independent music venues, jazz clubs, and Montmartre moments within walking distance. A favourite for creative travellers."
PAR011,Paris,Latin Quarter Residence,2,8.5,9.0,0,0,1,0,1,0,0,0,"Authentic Parisian experience in the Latin Quarter. Near the Panthéon, Sorbonne, and Cluny Museum. Unpretentious and charming."
PAR012,Paris,Paris Family Hotel,2,8.4,8.3,1,0,0,0,1,0,0,0,"Designed for families, with extra-large rooms, kids' activity kits, and a private courtyard garden. Well connected by metro to Disneyland Paris day trips."
BCN001,Barcelona,Gothic Quarter Inn,2,8.6,9.1,0,0,1,1,1,0,0,0,"Atmospheric hotel in the ancient Barri Gòtic. Steps from Barcelona Cathedral, Picasso Museum, and the vibrant Born district. Unbeatable location for city explorers."
BCN002,Barcelona,Barceloneta Beach Hotel,3,8.9,8.7,0,0,0,1,1,1,0,0,"Stylish hotel a block from Barceloneta beach. Perfect for those who want to blend sightseeing with beach life. Rooftop pool with Mediterranean views."
BCN003,Barcelona,Eixample Luxury,4,9.3,9.0,0,1,1,0,1,0,1,0,"Contemporary luxury in the Modernista heart of Barcelona. Surrounded by Gaudí architecture. Business amenities, a spa, and exceptional Catalan cuisine."
BCN004,Barcelona,Gràcia Boutique,2,8.7,8.4,0,0,0,1,1,1,0,0,"Romantic boutique in the bohemian Gràcia neighbourhood. Lively plazas, artisan shops, and a favourite local nightlife scene right outside."
BCN005,Barcelona,Las Ramblas Hotel,2,8.3,9.2,0,0,0,1,1,0,0,0,"Classic hotel right on Las Ramblas. Access to Boqueria market, Miró Foundation, and the Gothic Quarter. Vibrant location, noisy at night — earplugs provided."
BCN006,Barcelona,Sagrada Família View,2,8.8,8.6,1,0,1,0,1,0,0,0,"The only hotel with a direct Sagrada Família view from the breakfast room. Family-friendly, with a rooftop terrace for iconic photographs at golden hour."
BCN007,Barcelona,Budget Barcelona Centre,1,7.8,8.8,0,0,0,0,1,0,0,1,"Affordable and central, near Plaça de Catalunya. Quick metro access to all major Barcelona sights. Basic but spotless rooms."
BCN008,Barcelona,Park Güell Retreat,2,8.5,7.9,0,0,1,0,1,1,0,0,"Calm retreat in the upper city near Park Güell. Peaceful garden, romantic terraces with panoramic Barcelona views. A 15-minute metro ride to the centre."
BCN009,Barcelona,El Born Design Hotel,4,9.4,9.1,0,0,1,1,1,0,1,0,"Award-winning design hotel in the fashionable El Born district. Contemporary art installations, rooftop bar, and close to the Santa Maria del Mar church."
BCN010,Barcelona,Poblenou Loft,1,7.9,7.6,0,0,0,1,1,0,0,1,"Affordable loft apartments in up-and-coming Poblenou. Creative atmosphere, beach within walking distance, and good metro links. Popular with digital nomads."
BCN011,Barcelona,Montjuïc Suites,2,8.6,8.1,1,0,1,0,1,0,0,0,"Family-friendly suites with Montjuïc views. Near the MNAC museum, the Olympic stadium, and the cable car. A quieter Barcelona experience."
BCN012,Barcelona,Barcelona Family Hotel,2,8.4,8.2,1,0,0,0,1,0,0,0,"Spacious family rooms with bunk beds, family breakfast package, and a kids' splash pool. Excellent metro access."
ROM001,Rome,Colosseum View Hotel,4,9.5,9.3,0,0,1,0,1,0,1,0,"Magnificent hotel with direct Colosseum and Forum views. Roman history at your window. Butler service, bespoke archaeological tours, and a rooftop terrace dining experience."
ROM002,Rome,Trastevere Inn,2,8.8,8.6,0,0,0,1,1,1,0,0,"Charming inn in Rome's most atmospheric neighbourhood. Cobblestone lanes, ivy-clad facades, trattorias, and lively piazzas just outside the door."
ROM003,Rome,Vatican Guest House,2,8.5,8.3,1,0,1,0,1,0,0,0,"Peaceful, family-friendly accommodation a short walk from St. Peter's Basilica and the Vatican Museums. Early Museum access packages available."
ROM004,Rome,Spanish Steps Suites,4,9.6,9.4,0,0,1,0,1,1,1,0,"Exclusive suites steps from the Spanish Steps and the Trevi Fountain. An ultra-romantic address with bespoke shopping tours and private chef dining."
ROM005,Rome,Campo de' Fiori Boutique,2,8.7,8.9,0,0,0,1,1,1,0,0,"Intimate boutique hotel overlooking the legendary Campo de' Fiori market. Wine bars, artisan food shops, and authentic Roman osterie right outside."
ROM006,Rome,Palatine Budget Hotel,1,7.9,8.0,0,0,1,0,1,0,0,1,"Affordable option near the Palatine Hill and Circus Maximus. Clean, unpretentious, and a genuine base for budget-conscious history lovers."
ROM007,Rome,Prati Boutique,2,8.6,8.5,0,0,1,0,1,0,0,0,"Elegant boutique in the upscale Prati district, minutes from the Vatican. Quiet streets, excellent neighbourhood restaurants, and easy metro to the city centre."
ROM008,Rome,Piazza Navona Inn,3,9.0,9.2,0,0,1,0,1,1,0,0,"Sophisticated hotel facing one of Rome's great baroque squares. Nightly living theatre of street artists, upscale dining, and rooftop views of the eternal city."
ROM009,Rome,Testaccio Local Hotel,2,8.3,8.1,0,0,0,1,1,0,0,0,"Authentic neighbourhood hotel in Testaccio — Rome's food district. Offal restaurants, vinyl record stores, and a genuinely local atmosphere away from the tourist trail."
ROM010,Rome,Roman Forum View,4,9.4,9.5,0,0,1,0,1,0,1,0,"Prestigious hotel whose terraces overlook the Roman Forum. Incomparable historic panoramas, Michelin-starred dining, and impeccable five-star service."
ROM011,Rome,Gianicolo Retreat,2,8.9,8.2,0,0,0,0,1,1,0,0,"Secluded romantic retreat on the Gianicolo hill. Private garden, panoramic city views, and a tranquil escape from Rome's bustle. Just 15 minutes to the centre."
ROM012,Rome,Rome Family Residences,2,8.4,7.9,1,0,0,0,1,0,0,0,"Spacious self-catering residences for families. Large kitchens, laundry, cot hire, and a communal garden. Close to Villa Borghese gardens and zoo."
LIS001,Lisbon,Alfama Viewpoint Hotel,2,8.8,8.7,0,0,1,0,1,1,0,0,"Romantic miradouro hotel in the historic Alfama district. Azulejo-tiled hallways, fado drifting up from nearby taverns, and sweeping Tagus river views from the terrace."
LIS002,Lisbon,Bairro Alto Boutique,2,8.6,8.9,0,0,0,1,1,1,0,0,"Fashionable boutique in Bairro Alto, Lisbon's nightlife and creative hub. Independent restaurants, natural wine bars, and the city's best fado clubs within a short walk."
LIS003,Lisbon,Belém River Hotel,2,8.5,8.4,1,0,1,0,1,0,0,0,"Modern hotel on the Tagus riverfront near the iconic Belém Tower and Jerónimos Monastery. Family-friendly, with cycle paths and riverside promenades."
LIS004,Lisbon,Chiado Luxury Hotel,4,9.4,9.5,0,0,1,0,1,1,1,0,"The finest address in central Lisbon. Located in the elegant Chiado district, with award-winning Portuguese cuisine, a rooftop terrace, and a curated local art collection."
LIS005,Lisbon,Mouraria Budget Inn,1,7.8,8.3,0,0,1,1,1,0,0,1,"Budget-friendly inn in Mouraria, Lisbon's vibrant multicultural quarter. Near São Jorge Castle and the fado origins neighbourhood. Excellent bus connections."
LIS006,Lisbon,LX Factory Loft,2,8.7,8.1,0,0,0,1,1,0,0,0,"Converted industrial lofts adjacent to the LX Factory creative complex. Sunday market, independent restaurants, rooftop cinema, and craft cocktail bars."
LIS007,Lisbon,Santos Design Hotel,3,9.1,8.8,0,0,0,1,1,1,0,0,"Contemporary design hotel in the Santos arts district. International design festival hub, riverfront gallery, and close to the vibrant Cais do Sodré nightlife zone."
LIS008,Lisbon,Intendente Guesthouse,1,7.9,8.0,0,0,0,1,1,0,0,1,"Affordable guesthouse in the revitalised Intendente square. Multicultural eateries, tram access, and a genuinely local Lisbon experience at unbeatable value."
LIS009,Lisbon,Príncipe Real Suite Hotel,4,9.5,9.3,0,0,1,0,1,1,1,0,"Discreet luxury in Lisbon's most refined neighbourhood. Antique gardens, curated food and wine experiences, and a celebrated spa. Perfect for romantic getaways."
LIS010,Lisbon,Expo Area Business Hotel,3,8.8,8.5,0,1,0,0,1,0,0,0,"Modern hotel in the Parque das Nações (Expo) district. Riverfront location, conference facilities, and excellent connections to the airport and city centre."
LIS011,Lisbon,Lisbon Family Resort,2,8.5,8.0,1,0,0,0,1,0,0,0,"Spacious family-friendly hotel with a pool, kids' club, and connecting rooms. 20 minutes to central Lisbon by metro, quieter environment for families."
LIS012,Lisbon,Parque Eduardo VII Hotel,2,8.4,8.6,0,0,1,0,1,0,0,0,"Well-located hotel overlooking the city's grand park. Easy access to the Gulbenkian Museum, Marquês de Pombal square, and the Avenida da Liberdade boutiques."
