restaurant_id,city,name,cuisine,price_level,rating,near_transport,romantic,family_friendly,vegetarian_friendly,description
AMS_R01,Amsterdam,De Kas,Dutch Modern,3,9.4,1,1,0,1,"Farm-to-table dining in a magnificent 1926 greenhouse in Frankendael park. The menu changes daily based on what's harvested that morning. One of Amsterdam's most celebrated restaurants."
AMS_R02,Amsterdam,Café de Jaren,Dutch Cafe,1,8.7,1,0,1,1,"Grand Amsterdam café on the Amstel river with huge sunny terrace. Legendary lunch spot for locals. Enormous salad bar and some of the city's best club sandwiches."
AMS_R03,Amsterdam,Brouwerij 't IJ,Beer/Dutch,1,9.0,1,0,1,0,"Microbrewery inside a functioning windmill in east Amsterdam. Their tripel and witbier are outstanding. The Sunday market draws locals in their hundreds."
AMS_R04,Amsterdam,Rijks Restaurant,Dutch Fine Dining,3,9.2,1,1,0,1,"Fine dining restaurant inside the Rijksmuseum. Michelin-starred chef Dennis Kuipers reinterprets Dutch culinary heritage with precision and creativity."
AMS_R05,Amsterdam,FULU Mandarijn,Chinese,2,8.8,1,0,1,1,"Amsterdam's most refined Chinese restaurant near Nieuwmarkt. Dim sum at lunch and intricate Sichuan and Cantonese dishes at dinner. Excellent value for the quality."
AMS_R06,Amsterdam,Buffet van Odette,Dutch Bistro,2,9.0,1,1,0,1,"Beloved neighbourhood bistro in Jordaan. Seasonal Dutch comfort cooking, good natural wine list, and a loyal local following. Reservations essential."
PAR_R01,Paris,Septime,French Modern,3,9.6,1,1,0,1,"Paris's most sought-after natural wine bistro in the 11th. Biodynamic wines, market-driven menu, and a kitchen earning consistent Michelin recognition. Book months ahead."
PAR_R02,Paris,L'As du Fallafel,Middle Eastern,1,9.4,1,0,1,1,"Le Marais institution and arguably the world's best falafel. The pita is loaded with fried aubergine, hummus, and pickled vegetables. Always a queue, always worth it."
PAR_R03,Paris,Café de Flore,French Cafe,2,8.5,1,1,0,1,"The most famous café in the world. Existentialist history, people-watching on the terrace, and classic croque monsieurs. Tourist prices, but an essential Paris experience."
PAR_R04,Paris,Au Passage,French Wine Bar,2,9.1,1,1,0,1,"Iconic small plates wine bar in the 11th. Natural wines by the glass, pig's head croquettes, and ambiance that is quintessentially underground Parisian."
PAR_R05,Paris,Bouillon Chartier,French Brasserie,1,8.9,1,0,1,0,"1896 brasserie in a spectacular Belle Époque dining room. Classic French brasserie dishes at remarkably low prices. Waiters scribble orders directly onto the paper tablecloth."
PAR_R06,Paris,Frenchie,French Modern,3,9.3,1,1,0,1,"Acclaimed modern French restaurant in the Sentier district. Seasonal tasting menus drawing on international flavours filtered through classical French technique."
BCN_R01,Barcelona,Bar Pinotxo,Catalan,1,9.5,1,0,1,0,"La Boqueria's legendary breakfast counter. Juanito Bayen has been serving garbanzos, cuttlefish, and house wine since the 1950s. The soul of Barcelona on a stool."
BCN_R02,Barcelona,El Quim de la Boqueria,Catalan,2,9.2,1,0,0,0,"Market counter serving elevated tapas using whatever's freshest in La Boqueria that morning. Their fried eggs with baby squid is legendary."
BCN_R03,Barcelona,Bodega Sepúlveda,Wine Bar,1,8.8,1,1,0,1,"Old-school neighbourhood wine bar in the Eixample. House wine served from the barrel, simple anchovies and jamón, and a genuinely local experience."
BCN_R04,Barcelona,Tickets,Modern Tapas,3,9.6,1,1,0,1,"Albert Adrià's theatrical tapas bar, sibling to the legendary elBulli. Olive spherification, liquid jamón croquette, and magic in every bite. Notoriously hard to book."
BCN_R05,Barcelona,La Cova Fumada,Catalan,1,9.3,1,0,0,0,"Birthplace of the bombas (meat-filled potato croquette). Cash only, no menus, no reservations — just authentic Barceloneta seafood prepared as it has been for decades."
BCN_R06,Barcelona,Cervecería Catalana,Catalan,2,8.9,1,0,1,1,"Barcelona's favourite pintxos bar. Always busy, always excellent. Pan amb tomàquet (bread with tomato), montaditos, and fresh seafood from an open kitchen."
ROM_R01,Rome,Da Enzo al 29,Roman,2,9.5,1,0,1,0,"The definitive Roman trattoria in Trastevere. Cacio e pepe, carbonara, and coda alla vaccinara prepared exactly as they should be. Book weeks ahead."
ROM_R02,Rome,Supplì Roma,Street Food,1,9.2,1,0,1,0,"Rome's most famous street food, the supplì al telefono (fried rice ball with mozzarella). Eat standing on the pavement on Via di San Francesco a Ripa — the true Roman way."
ROM_R03,Rome,Roscioli,Italian Deli/Restaurant,2,9.4,1,1,0,1,"An extraordinary Jewish-Roman deli that doubles as an acclaimed restaurant. 3,000-label wine cellar, artisanal cheeses, and a carbonara considered among Rome's best."
ROM_R04,Rome,Grazia & Graziella,Roman,2,8.7,1,0,1,0,"Straightforward, no-nonsense Roman trattoria near the Testaccio market. Seasonal antipasti, perfectly executed pasta, and tables crammed with local families on weekends."
ROM_R05,Rome,Osteria dell'Enoteca Corsi,Roman,1,9.0,1,0,1,0,"Hidden gem near the Pantheon serving daily changing Roman classics. Blackboard menu, house wine in carafes, and generous portions at honest prices."
ROM_R06,Rome,Il Sorpasso,Wine Bar,2,8.9,1,1,0,1,"Prati neighbourhood wine bar and restaurant with a superb natural wine list and creative cicchetti. Buzzing aperitivo scene from 6pm with excellent small plates."
LIS_R01,Lisbon,Time Out Market,Various,2,9.1,1,0,1,1,"Lisbon's famous food hall under the Mercado da Ribeira roof. Over 40 top chefs serving everything from bifanas to bacalhau. The best introduction to Portuguese cuisine."
LIS_R02,Lisbon,A Cevicheria,Peruvian-Portuguese,3,9.4,1,1,0,1,"Chef Kiko Martins fuses Portuguese ingredients with Peruvian technique. The octopus ceviche is transformative. Small room, big waiting list."
LIS_R03,Lisbon,Solar dos Presuntos,Portuguese Traditional,2,9.0,1,0,1,0,"Lisbon institution since 1974 in Baixa. Classic dishes like arroz de pato (duck rice), bacalhau à Brás, and presunto from the Trás-os-Montes. Family-run and warmly hospitable."
LIS_R04,Lisbon,Taberna da Rua das Flores,Portuguese Modern,2,9.3,1,1,0,1,"Intimate modern taberna with no written menu — the waiter recites the day's petiscos (small plates) based on the morning market. Outstanding natural Portuguese wines."
LIS_R05,Lisbon,Pastéis de Belém,Cafe/Pastry,1,9.6,1,0,1,1,"The original pastel de nata bakery, operating since 1837. The recipe remains secret. Queue for a table or eat standing at the counter with a coffee and cinnamon. Essential."
LIS_R06,Lisbon,Cervejaria Ramiro,Seafood,2,9.5,1,0,1,0,"Lisbon's most beloved seafood restaurant and a family institution since 1956. Order percebes (barnacles), amêijoas (clams), and the prego (steak sandwich) to finish."
